Date,open,high,low,close,volume
2022-01-03,67447.01262685355,67094.62942185029,66550.75280436502,67000.0,4406864.940227807
2022-01-04,66818.9964305852,66740.500812665,65950.29657095837,66707.39819844849,1740187.2280293843
2022-01-05,67060.09053115743,67647.03946676805,67374.22728389715,67461.085676876,1958744.2599969916
2022-01-06,67943.59516102466,67849.33432812929,67586.30145743531,67702.1701613795,2984072.6233293866
2022-01-07,67139.45081471375,67555.79680466179,66130.19097016726,66815.28408346833,1785975.474983962
2022-01-10,64519.88512208955,64974.408895826666,63160.72860740801,64388.18465844083,1898822.5018516297
2022-01-11,64833.192094901606,65445.05202565638,64833.89753290094,65295.87870603088,3491526.76239182
2022-01-12,66584.84218315118,67534.66219424644,65682.52273859565,66429.07764394369,4254021.218240945
2022-01-13,64900.966638598235,65193.35722450707,64496.97593331396,64956.86787753397,826465.1162644504
2022-01-14,66665.37717661314,68099.5429921566,66424.38570276232,66593.89087690921,2114830.036450765
2022-01-17,65957.97898945425,66186.15788115098,65361.555484591285,66185.7008732931,2804791.1367880506
2022-01-18,69792.17964060388,69397.07543078923,68389.50165345597,68870.89390543583,1737104.3537187856
2022-01-19,69731.75691322552,69594.30467181232,69477.2902811299,69516.28090949572,2837609.1793415453
2022-01-20,68804.93279862205,69514.83865827473,69134.48162782461,69187.67629926612,4855452.123908507
2022-01-21,70876.11223520208,70617.80098088103,70239.19848960442,70505.366412782,3345853.7688853675
2022-01-24,70356.38299324915,71913.52584373788,70586.92662512766,70644.18147894146,4027499.553812674
2022-01-25,70921.18109257756,70837.3099797626,70360.20891590299,70802.4084284156,6081081.764188771
2022-01-26,70714.97209973691,71191.80740502264,70101.08381008395,70904.57306395288,2628693.567874275
2022-01-27,71437.9200769233,70778.99222328758,70429.03257432232,70761.00055240303,4064298.0525425533
2022-01-28,71324.39446586628,71641.779578706,71375.29922122274,71458.8235514634,2735145.0183543726
2022-01-31,72364.4994765979,72830.3294709867,71897.92031135982,72354.75799358019,5930620.069990951
2022-02-01,73344.77199641724,73379.72032296327,72558.08116044004,72762.69143926918,8626864.059308453
2022-02-02,74751.25611798788,75191.02185018217,74331.89661065515,74790.59922837072,1846301.9905634602
2022-02-03,73604.7528072148,74175.03417628174,72669.7899384093,73306.19061941326,1579747.6473854631
2022-02-04,72268.77292173359,73186.7000213907,72139.6032849584,72819.9955592369,5815735.081443941
2022-02-07,73212.76699636175,74211.58308720416,73320.2605214068,73748.48033895993,2404644.6911779703
2022-02-08,72368.19079519631,72624.24679987674,72345.54028770022,72480.23595853311,4564852.151076348
2022-02-09,74038.81169418272,74236.77679324104,73905.89391642774,74223.53343773802,3873191.945805678
2022-02-10,74547.49496978131,75140.03934735361,74807.42737323056,75043.79215530034,1161759.0107491866
2022-02-11,74862.91944631144,75996.07873278833,74428.77779301465,74862.77264831455,4243975.379281253
2022-02-14,75314.39144152997,75587.80467056936,75371.0202317114,75487.70025513408,3836131.404780909
2022-02-15,75232.93542143515,74962.623790884,73969.46627514996,74848.83438444814,6704862.793399557
2022-02-16,72841.09051192057,73462.96098269208,73103.70054755412,73225.42809749836,1826411.5333583753
2022-02-17,73699.96776714706,74406.14773709819,74126.869124288,74195.34803805812,2106029.6639748528
2022-02-18,75012.9531314601,75313.50701976288,74952.89700883444,75274.98974346959,5207262.220052569
2022-02-21,75254.53822256834,76087.37142912927,74814.83302924018,75426.94407294314,3758563.4185282504
2022-02-22,75689.23047108819,76153.05400899706,74741.60088480185,75424.7303054709,3818272.355182751
2022-02-23,73259.85314226315,73113.7254815376,73036.76698790654,73078.04949644703,7514286.276653065
2022-02-24,71928.53323263316,72202.87227679692,71796.56181710694,72190.75056347731,1794388.6070187008
2022-02-25,72296.42718878078,71712.79142937846,71201.34506045691,71709.93521788697,3575111.6531522083
2022-02-28,71994.07135551465,72460.36146681914,71791.87461933141,71983.35871658592,5601758.844293785
2022-03-01,73878.7289647669,73608.648687427,73515.03884962921,73516.54564891731,3190616.6031275657
2022-03-02,72822.09765879283,73057.64503056495,72959.35265943616,72967.64220789279,3575923.761701379
2022-03-03,72471.39493487169,72941.42696823877,72135.98068408696,72140.36992764841,4780785.124809484
2022-03-04,73305.07496998883,73548.9646906554,73096.76882762954,73203.84502367793,6308645.405752076
2022-03-07,72834.97857876372,73672.44897113605,72620.62503755969,73086.73609793528,6198594.825186613
2022-03-08,71657.54066152248,71688.90614477171,70879.89274353076,71623.10441062001,7757525.1888422575
2022-03-09,73655.46132252687,73993.85025277566,72682.82987976508,72966.09775083065,2183143.218855802
2022-03-10,72411.34894220176,72350.79467559069,71502.10041365746,72055.19318244692,2858397.0054003047
2022-03-11,71219.86851598756,72352.38769211425,70442.18404759429,71472.32659717748,6778780.87573531
2022-03-14,70399.06905306906,70876.37556398055,70176.98290476372,70393.96504455461,3060138.6979031
2022-03-15,71102.47367721201,70908.56089490026,70556.93189596328,70795.05120532209,2205442.767356121
2022-03-16,72313.14956618861,72118.99353768592,71872.11363252625,71966.03849426325,3438416.9892691043
2022-03-17,71190.40521806573,72462.96575176284,71169.02707207388,71583.29590199137,3925072.8687003166
2022-03-18,72545.04328390803,72428.37068408364,71883.33973028218,72031.7693655655,2290844.5272111595
2022-03-21,71382.88334034386,71869.64753230171,71377.90365464462,71545.64007124153,4491294.399151673
2022-03-22,74426.80071315664,74585.45205122246,74069.82086792943,74119.94696707556,2952724.328492842
2022-03-23,76151.44220027581,76369.41791298754,75388.96008947722,75832.46270797985,2656184.949403093
2022-03-24,74585.66548370942,75730.6696487913,74514.9175513328,75180.70180574697,2539189.9751100424
2022-03-25,75779.05506564754,76716.98680369374,75520.41746280188,75801.62185671047,2961664.1393367224
2022-03-28,76638.73904539933,77339.03541165605,76156.95540435304,76900.86008502208,9188373.06146326
2022-03-29,77655.51967920738,77687.30782479186,77151.12104696863,77417.38298199157,5180993.1512387665
