Date,open,high,low,close,volume
2022-01-03,871.5230832420982,885.8239435210736,873.622503110212,875.0,4771211.350363419
2022-01-04,872.043551430136,871.52576739535,868.4319825892186,869.8080182734665,5498360.515910841
2022-01-05,869.2816702484589,879.5498346132767,866.9923818410474,869.3349692982415,6854558.919934386
2022-01-06,845.0432424306912,849.9015534969086,838.1464528539735,842.1730997828146,3623542.616512556
2022-01-07,867.7550570433248,864.0700144446278,861.0757528939549,863.4099756152896,3819835.585239522
2022-01-10,836.7846941975208,848.1933337947193,835.8346090130937,840.7447474567477,5231593.11335233
2022-01-11,827.39981211326,831.6163263716818,826.7246177339707,830.4451585914386,3569088.548651299
2022-01-12,832.6516956001695,843.5645407049093,835.7243358568178,836.984133504909,4427522.09584512
2022-01-13,824.6525696437664,835.4591467880372,820.2559848362934,821.7414374756404,3622264.066655942
2022-01-14,808.1622332448314,811.2771263532873,807.3926306301155,809.0465934988532,3303418.3336025053
2022-01-17,796.1110021677284,811.1160315323771,793.4851436606419,798.3294805388123,2374125.275355278
2022-01-18,799.6039072767946,807.1553425111675,801.6346780127054,805.2020226813696,3662397.568979604
2022-01-19,834.6026324294264,839.1532801491348,832.5243169779454,833.6188854045528,4531314.839594615
2022-01-20,833.7983191270383,842.9914242000459,831.5531530013109,834.3887466788498,3873762.8369160937
2022-01-21,820.7111781438514,821.6457628681187,814.7616828155635,820.759831671162,3025197.5539819035
2022-01-24,825.6867454164595,839.4483381617772,827.1799831551773,827.6715608108609,3869242.964655038
2022-01-25,814.1407954052588,823.8367097126409,815.9619705091429,820.5493167960076,7204902.885544112
2022-01-26,825.1955610904837,827.7032339429772,819.1276771049568,820.5600189230818,3426240.1698694704
2022-01-27,834.9093107753073,840.4660964592176,835.120959181981,835.4011890171155,2520856.988130111
2022-01-28,826.8745246329545,830.5854010311034,821.5102901430603,826.3298360884685,7880693.81361285
2022-01-31,823.1367415188671,839.9748123999863,818.8950191343126,826.689680880363,2724364.003263411
2022-02-01,821.051364545528,817.3984242003465,803.6096908950042,816.1170362687668,7275369.452315875
2022-02-02,810.6054694919548,820.1555306087796,803.6300358531338,814.4485503780589,4576207.067264189
2022-02-03,815.4312328841494,823.6809491651879,814.6089124432228,817.834354678446,1795490.3169563313
2022-02-04,801.9950530584808,810.8842586843888,805.416209911236,806.0357770912173,3210679.344325991
2022-02-07,797.2857444435239,814.3638554608344,797.3536346910445,802.1902510395528,3153297.195807886
2022-02-08,802.1756121885527,803.6172124237262,795.4375962464068,799.5931533684834,3136232.52574545
2022-02-09,789.9102318524772,803.7038268267096,791.9915321782994,792.2192741783034,3102292.056496817
2022-02-10,773.9831902439226,791.2708461121829,773.8464342290611,778.4649988521621,4901475.167819967
